NAME	FMISID	LPNN	WMO	LATITUDE	LONGITUDE	ELEVATION	GROUPS	STARTYEAR	ENDYEAR
Antrea	105969			60.98	29.07		Precipitation	1924	1930
Antrea Jaakonsaari	106042			60.88	29.18		Precipitation	1926	1929
Antrea Kirkonkylä	106204			60.93	29.15		Precipitation	1943	1945
Anttola kk	101412	2616		61.58	27.65	85	Precipitation	1700	1996
Anttola Pitkälahti	105515			61.58	27.63		Precipitation	1937	1953
Artjärvi kk	101197	1507		60.75	26.08	57	Precipitation	1909	2008
Asikkala Iso-Äiniö	101182	1431		61.22	25.35	130	Weather	1985	1990
Asikkala Kurhila	105608			61.18	25.38		Precipitation	1935	1946
Asikkala maatal.oppilaitos	101186	1435	5287	61.22	25.5	92	Weather	1992	2003
Asikkala Pulkkilanharju	101185	1434	2727	61.27	25.52	79	Weather	1991	
Asikkala Pulkkilanharju	101156	1405	5675	61.3	25.54	85	Weather	1967	2008
Asikkala Urajärvi	105630			61.13	25.77		Precipitation	1942	1950
Asikkala Urajärvi	101168	1417		61.14	25.79	104	Precipitation	1968	2016
Asikkala Vähä-Pulkkila	106225			61.3	25.58		Precipitation	1942	1948
Asikkala Vähä-Äiniö	105538			61.28	25.43		Precipitation	1942	1966
Askainen Manna	105470			60.55	21.83		Precipitation	1942	1955
Askola Monninkylä	105797			60.52	25.62		Precipitation	1922	1944
Aura	106336			60.62	22.53		Precipitation	1924	1926
Aura Karviainen	105447			60.65	22.48		Precipitation	1942	1966
Aura Lietsuo	101096	1133		60.62	22.63	61	Precipitation	1978	1979
Bay of Bothnia wavebuoy	137228			64.68	23.24	0	Buoy	2012	
Bergö	106052			62.97	21.17		Precipitation	1942	1952
Bromarv Framnäs	105720			60	23.08		Precipitation	1925	1926
Bromarv Kivitok	100956	206		60	23.05	20	Precipitation	1931	1974
Bromarv Kägra	105622			60.02	23.05		Precipitation	1926	1938
Bromarv Wättlax	105507			59.93	22.92		Precipitation	1923	1951
Brändö Lappo	105989			60.32	21		Precipitation	1935	1952
Dragsfjärd Dalsbruk	106370			60.03	22.5		Precipitation	1922	1924
Dragsfjärd Finnhova	105464			60.12	22.55		Precipitation	1950	1955
Dragsfjärd Kulla	105938			60.08	22.65		Precipitation	1942	1948
Dragsfjärd Långnäs	106339			60.05	22.45		Precipitation	1948	1950
Dragsfjärd Skinnarvik	100943	112		60.13	22.45	31	Weather	1972	1984
Dragsfjärd Söderlångvik	105830			60.03	22.4		Precipitation	1935	1957
Eckerö Torp	100930	25	5601	60.16	19.59	18	Weather	2008	2010
Elimäki	105787			60.75	26.47		Precipitation	1942	1961
Eno Kaltimo	101646	3914		62.78	30.13	94	Precipitation	1981	2009
Eno Kirkonkylä Eskelä	105632			62.78	30.07		Precipitation	1942	1963
Eno Kirkonkylä Multimäki	106010			62.78	30.18		Precipitation	1942	1948
Eno Kirkonkylä Siirtola	106040			62.78	30.15		Precipitation	1924	1929
Eno kk	101638	3906		62.78	30.06	120	Precipitation	1942	1974
Eno Löytöjärvi	101647	3915		62.58	30.33	163	Precipitation	1983	1985
Eno Pamilo Luhtapohja	101639	3907		62.8	30.41	150	Precipitation	1956	2009
Enonkoski Hankamäki	106129			62.08	28.87		Precipitation	1929	1930
Enonkoski Karvila	101433	2713		62.07	28.85		Precipitation	1986	1987
Enonkoski Simanala	101446	2806		62.06	29.04	95	Precipitation	1937	
Enonkoski Simanala	105495			62.08	28.87		Precipitation	1925	1930
Enontekiö airport	101976	8208	2802	68.36	23.43	308	Weather	1999	
Enontekiö Hetta	101972	8204		68.38	23.63		Precipitation	1908	1972
Enontekiö Hetta	101974	8206		68.39	23.59	298	Precipitation	1981	2016
Enontekiö Kaaresuvanto	101968	8102		68.44	22.51	320	Precipitation	1953	
Enontekiö Kalmankaltio	102021	9301		68.5	24.73	330	Weather	1960	1974
Enontekiö Karesuvanto	101967	8101		68.45	22.51		Precipitation	1953	1980
Enontekiö Kelottijärvi Iitto	102015	9002		68.75	21.41	415	Precipitation	1976	1993
Enontekiö Kelottijärvi Munnikurkkio	102018	9101		68.97	22.13	465	Precipitation	1960	1991
Enontekiö Kilpisjärvi	102016	9003	2801	69.05	20.79	480	Precipitation;Weather	1978	
Enontekiö Kilpisjärvi	102014	9001		69.05	20.8	483	Weather	1951	1979
Enontekiö Kilpisjärvi Saana	102017	9004	2701	69.04	20.85	1002	Weather	1991	
Enontekiö Näkkälä	102019	9201	2726	68.6	23.58	374	Weather	1960	
Enontekiö Palojärvi	102020	9202	5113	68.57	23.33	356	Weather	1972	2000
Enontekiö Peltovuoma	101988	8313		68.38	24.16		Precipitation	1900	1965
Espoo Esbogård	101006	341		60.2	24.58		Precipitation	1900	1965
Espoo Kattilalaakso	104069			60.17	24.65	4	Air quality (urban)	2011	2012
Espoo Kauklahti	104025			60.19	24.59	8	Air quality (urban)	2003	2003
Espoo Kauklahti	100978	311		60.22	24.65	13	Precipitation	1941	1993
Espoo Kivenlahti	104028			60.16	24.64	12	Air quality (urban)	2004	2004
Espoo Kivenlahti	101000	334	2838	60.18	24.64	44	Mast	1989	
Espoo Kytö	654910			60.06	24.72	0	Buoy	2013	
Espoo Laaksolahti	103995			60.24	24.75	30	Air quality (urban)	1997	1997
Espoo Lahnus	106104			60.33	24.72		Precipitation	1942	1945
Espoo Leppävaara 1	104290			60.22	24.81	10	Air quality (urban)	1993	1995
Espoo Leppävaara 2	104335			60.22	24.82	12	Air quality (urban)	1996	2004
Espoo Leppävaara 3	104030			60.22	24.82	10	Air quality (urban)	2005	2010
Espoo Leppävaara Läkkisepänkuja	100691			60.22	24.81	20	Air quality (urban)	2010	
Espoo Lintuvaara	104032			60.24	24.81	32	Air quality (urban)	2004	2005
Espoo Luukki	100723			60.31	24.68	64	Air quality (urban)	1987	
Espoo Mankkaa	103998			60.2	24.76	18	Air quality (urban)	1998	1998
Espoo Matinkylä	104340			60.16	24.75	8	Air quality (urban)	1994	2011
Espoo Matinkylä 2	104020			60.16	24.74	8	Air quality (urban)	2002	2002
Espoo Niittykumpu	104008			60.17	24.76	2	Air quality (urban)	2001	2001
Espoo Niittymaa	104062			60.17	24.78	20	Air quality (urban)	2010	2010
Espoo Nokkala	106261			60.15	24.72		Precipitation	1932	1937
Espoo Nupuri	100986	319	5194	60.22	24.6	20	Precipitation	1971	2011
Espoo Nuuksio	852678	344	2986	60.29	24.57	90	Weather	2014	
Espoo Nuuksio Takala	100991	325		60.32	24.55	70	Precipitation	1981	1989
Espoo Olari	106424			60.17	24.75	20	Air quality (urban)	2016	
Espoo Otaniemi	100972	305		60.18	24.83	2	Weather	1968	1979
Espoo Pohjois-Tapiola	104037			60.19	24.81	20	Air quality (urban)	2006	2006
Espoo Sepänkylä	101005	340	2703	60.21	24.74	30	Weather	2005	2015
Espoo Småholm	105790			60.15	24.82		Precipitation	1925	1946
Espoo Tapiola	874863	342	2985	60.18	24.79	6	Weather	2013	
Espoo Tapiola	104241			60.18	24.8	25	Air quality (urban)	1985	1992
Espoo Tapiola 2	104367			60.17	24.8	11	Air quality (urban)	1996	1996
Espoo Tapiola 3	103989			60.18	24.82	8	Air quality (urban)	1999	1999
Espoo Tuomarila	104052			60.2	24.7	20	Air quality (urban)	2009	2009
Espoon keskus	104047			60.21	24.66	20	Air quality (urban)	2007	2007
Eura Haveri	101092	1128		60.98	22.21		Precipitation	1974	1996
Eura Hinnerjoki	101063			61.02	21.98		Precipitation	1954	1965
Eura Honkilahti Löyttylä	101074	1110		60.97	22.1	50	Precipitation	1971	1990
Eura Kauttua	101076	1112		61.1	22.16	57	Precipitation	1925	1984
Eurajoki Huhta	106194			61.18	21.88		Precipitation	1942	1945
Eurajoki Verkkokari	101057	1014		61.23	21.63	4	Weather	1975	1993
Evijärvi	105610			63.37	23.45		Precipitation	1942	1966
Evijärvi Lahdenkylä	101514	3212		63.43	23.41	62	Precipitation	1960	2006
Forssa Linikkala	101125	1223		60.82	23.65		Precipitation	1900	1965
Forssa Talsola	106025			60.82	23.63		Precipitation	1952	1957
Föglö Degerby	134252			60.03	20.38	0	Mareograph	1923	
Föglö Jyddö	106019			60.1	20.53		Precipitation	1939	1949
Geta Östergeta	100922	17	5995	60.38	19.88	17	Weather	1987	1997
Geta Östergeta	100914	8		60.38	19.91	10	Precipitation	1913	2008
Gulf of Finland wavebuoy	134221			59.96	25.24	0	Buoy	1990	
Haapajärvi	105922			63.78	25.3		Precipitation	1924	1948
Haapajärvi Haapajärvenkylä	106394			63.77	25.3		Precipitation	1942	1943
Haapajärvi maamieskoulu	101694	4401		63.75	25.33	88	Weather	1952	1986
Haapajärvi Uusimaa	101699	4406		63.78	25.36	140	Precipitation	1965	1983
Haapajärvi Välioja Nokkous	101698	4405		63.75	25.46	130	Precipitation	1967	2009
Haapavesi kk	101702	4409		64.13	25.38	100	Precipitation	1942	1996
Haapavesi Mustikkamäki	101695	4402	2797	64.14	25.42	112	Precipitation;Weather	1951	
Haapavesi Piipsanneva	101707	4414	5425	64.14	25.6	99	Weather	1997	2000
Hailuoto Keskikylä	101776	5301	2874	65.02	24.73	7	Weather	1950	
Hailuoto Kujalannurkka	104109			65	24.69	4	Air quality	1995	
Hailuoto Marjaniemi	101784	5310	2873	65.04	24.56	7	Weather;Air quality	1974	
Hailuoto Ojakylä	105583			65.07	24.8		Precipitation	1922	1966
Hakkila Järvikylä	106061			61.35	21.98		Precipitation	1945	1946
Halikko Keravuori	106277			60.4	23.07		Precipitation	1928	1943
Halsua Kanala Koski	101527	3308		63.43	24.5	160	Precipitation	1961	2009
Halsua kk	101532	3313	5254	63.47	24.16	128	Weather	1972	2000
Halsua Niemenkylä	105843			63.45	24.18		Precipitation	1922	1960
Halsua Purola	101528	3309	2725	63.45	24.44	153	Precipitation;Weather	1958	
Hamina	105765			60.57	27.18		Precipitation	1942	1966
Hamina Onkamaa	101224	1605		60.65	27.41	35	Precipitation	1967	2009
Hamina Pitäjänsaari	134254			60.56	27.18	0	Mareograph	1928	
Hamina Poitsila	101222	1603		60.55	27.15	12	Precipitation	1942	2005
Hamina Raatihuoneentori/siirrettävä	104041			60.57	27.2	3	Air quality (urban)	2007	2007
Hamina Rautatienkatu/siirrettävä	104071			60.57	27.19	3	Air quality (urban)	2012	2012
Hamina Satama ratapiha siirrettävä	106415			60.54	27.16	4	Air quality (urban)	2016	2016
Haminan satama	104125			60.53	27.16	8	Air quality (urban)	1989	
Hammarland Märket	100919	14	2993	60.3	19.13	3	Weather	1977	
Hankasalmi	101391	2526		62.31	26.49	114	Precipitation	1951	2010
Hankasalmi Kovalanmäki	105895			62.3	26.47		Precipitation	1942	1951
Hankasalmi Säkinmäki	106203			62.47	26.48		Precipitation	1932	1934
Hankasalmi Säkinmäki	101389	2524		62.48	26.46	173	Precipitation	1932	2008
Hanko kpki	100933	102		59.82	22.96	4	Weather	1881	1965
Hanko Längden	654900			59.76	23.22	0	Buoy	2013	
Hanko Metsäkaivot	104317			59.88	23.22	7	Air quality (urban)	1991	2006
Hanko Pikku Kolalahti	134253			59.82	22.98	0	Mareograph	1887	
Hanko Russarö	100932	101	2982	59.77	22.95	7	Weather	1881	
Hanko Santala	100959	209		59.88	23.11		Precipitation	1968	1996
Hanko Syndalen	104318			59.87	23.23	10	Air quality (urban)	1992	2012
Hanko Tulliniemi	100946	115	2746	59.81	22.91	10	Weather	1990	
Hanko Tvärminne	100953	202	2750	59.84	23.25	3	Weather	1962	
Harjavalta Kaleva	103142			61.31	22.14	43	Air quality (urban)	1978	
Harjavalta Pirkkala	103143			61.33	22.14	40	Air quality (urban)	1990	
Harjavalta Torttila	101079	1115		61.31	22.12	31	Precipitation	1955	2008
Harjavalta Torttilan koulu 2	104221			61.33	22.12	42	Air quality (urban)	1984	2008
Harlu Läskelä	106112			61.77	31		Precipitation	1939	1940
Hartola Hotila	101343	2405		61.54	25.97	100	Precipitation	1931	2008
Hartola Hotila	105813			61.55	25.97		Precipitation	1931	1966
Hartola Kirkkola Ansio	101376	2511		61.67	26.01	100	Precipitation	1967	1977
Hartola Kirkkola Leppäkoski	101344	2406		61.63	25.88	90	Precipitation	1967	1977
Hartola kk Vehkasalo	101374	2509		61.62	26.08	100	Precipitation	1967	1977
Hartola Kuivajärvi	101207	1517		61.47	26.2	130	Precipitation	1967	1999
Hartola Murakka	101368	2502		61.55	26.1	94	Precipitation	1967	1977
Hartola Nokankylä	101373	2508		61.62	26.23	105	Precipitation	1967	1977
Hartola Putkijärvi	101346	2408		61.75	25.88	157	Precipitation	1967	2008
Hartola Ruskeala	101372	2507		61.6	26.01	104	Precipitation	1967	2008
Hartola Sauvuori	101369	2503		61.57	26.23	130	Precipitation	1967	1977
Hattula Lepaa	101151	1323	2704	61.11	24.32	87	Weather	2006	
Hattula Lepaa	101132	1304	5184	61.13	24.33	87	Weather	1926	2008
Hattula Leteensuo	101131	1303	5284	61.07	24.23	88	Weather	1908	2003
Hattula Pelkola	106197			60.95	24.12		Precipitation	1942	1944
Hauho Hahkiala	101133	1305		61.15	24.58	98	Weather	1926	1991
Hauho Vuolijoki	106205			61.28	24.57		Precipitation	1925	1926
Haukipudas Martinniemi	101797	5412		65.22	25.28		Precipitation	1959	1965
Haukivuori Haukivuorenkylä	106182			61.98	27.2		Precipitation	1942	1945
Haukivuori Haukivuori As	106409			62.03	27.2		Precipitation	1939	1946
Haukivuori Kantala	106321			62.12	27.2		Precipitation	1951	1952
Haukivuori Nykälä	101388	2523		62.12	26.96	110	Precipitation	1946	1993
Hausjärvi Lavinto	101139	1311		60.81	24.84	102	Precipitation	1907	2018
Heinola Asemantaus	101196	1506	2768	61.2	26.05	92	Weather	1908	
Heinola Imjärvi	106350			61.32	26.23		Precipitation	1943	1947
Heinola Marjoniemi	105712			61.28	25.9		Precipitation	1942	1950
Heinola Tiilitehtaankatu	105416			61.2	26.05	70	Air quality (urban)	2018	
Heinäsaari	105881			69.83	31.57		Precipitation	1939	1940
Heinävesi Hasumäki	101428	2707		62.4	28.73	84	Precipitation	1937	2000
Heinävesi Palokki	101589	3702		62.57	28.59	100	Precipitation	1908	
Helsingin mlk Tammisto	100975	308		60.27	24.96	14	Weather	1925	1970
Helsinki Eteläranta	104061			60.16	24.95	20	Air quality (urban)	2010	2012
Helsinki Eteläsatama	105406			60.16	24.96	2	Air quality (urban)	2018	
Helsinki Harmaja	100996	330	2795	60.11	24.98	6	Weather	1989	
Helsinki Herttoniemi	101026	420	5393	60.2	25.05	5	Weather	1999	2005
Helsinki Hämeentie	104031			60.18	24.96	5	Air quality (urban)	2004	2014
Helsinki Ilmala	100973	306		60.2	24.91	47	Weather	1911	1982
Helsinki Jakomäki	104007			60.26	25.07	39	Air quality (urban)	2001	2001
Helsinki Kaisaniemi	100971	304	2978	60.18	24.94	3	Weather	1844	
Helsinki Kaisaniemi AWS	100999	333	5600	60.18	24.94	3	Weather	1995	2001
Helsinki Kaivopuisto	132310	345	2960	60.15	24.96	2	Mareograph	1904	
Helsinki Kallio 2	100662			60.19	24.95	21	Air quality (urban)	1999	
Helsinki Kamppi	103997			60.16	24.93	7	Air quality (urban)	1998	1998
Helsinki Katajaluoto	100970	303	5986	60.1	24.91	5	Weather	1953	1984
Helsinki Katajanokka	104010			60.17	24.97	4	Air quality (urban)	2000	2000
Helsinki Katajanokka 2	104053			60.17	24.97	20	Air quality (urban)	2009	2013
Helsinki Kontula	104351			60.24	25.09	35	Air quality (urban)	1982	1992
Helsinki Kumpula	101004	339	2998	60.2	24.96	24	Precipitation;Weather;Air quality	2005	
Helsinki lighthouse	101003	337	2989	59.95	24.93	0	Weather	2003	
Helsinki Länsisatama 2	104067			60.15	24.92	20	Air quality (urban)	2012	
Helsinki Länsisatama 3	104079			60.15	24.92	20	Air quality (urban)	2013	2014
Helsinki Malmi	104019			60.25	25	19	Air quality (urban)	2002	2002
Helsinki Malmi 2	104068			60.24	25.03	20	Air quality (urban)	2011	2012
Helsinki Malmi airfield	101009	401		60.25	25.05	15	Weather	1937	
Helsinki Mannerheimintie	100742			60.17	24.94	5	Air quality (urban)	2005	
Helsinki Marjaniemi	101021	415		60.2	25.08	22	Weather	1970	1988
Helsinki Mechelininkatu	106422			60.17	24.92	20	Air quality (urban)	2016	
Helsinki Mäkelänkatu	100762			60.2	24.95	20	Air quality (urban)	2015	
Helsinki Mäkelänkatu 52	104065			60.2	24.95	20	Air quality (urban)	2011	2011
Helsinki Pakila	104240			60.25	24.94	35	Air quality (urban)	1978	1992
Helsinki Punavuori	104237			60.16	24.94	15	Air quality (urban)	1976	1992
Helsinki railway station square	101007	343	2934	60.17	24.94	3	Weather	2009	2015
Helsinki Rautatieasema	104339			60.17	24.94	3	Air quality (urban)	1994	1995
Helsinki Runeberginkatu	103994			60.18	24.92	13	Air quality (urban)	1997	2004
Helsinki Suomenlinna wavebuoy	103976			60.12	24.97	0	Buoy	2016	
Helsinki Sörnäinen	103977			60.19	24.97	2	Air quality (urban)	1996	1996
Helsinki Tapanila	104074			60.26	25.02	20	Air quality (urban)	2012	2013
Helsinki Töölö	104239			60.19	24.92	14	Air quality (urban)	1982	2005
Helsinki Töölöntulli	104105			60.19	24.92	20	Air quality (urban)	2006	2017
Helsinki Unioninkatu	104046			60.17	24.95	20	Air quality (urban)	2007	2007
Helsinki Vallila Hauhonpuisto	100802			60.19	24.96	27	Air quality (urban)	1976	2015
Helsinki Vartiokylä Huivipolku	100803			60.22	25.1	25	Air quality (urban)	2009	
Helsinki Viikin koetila	101011	403		60.22	25.03	8	Weather	1958	1970
Helsinki Vuosaari harbour	151028	411		60.21	25.2	2	Weather	2012	
Helsinki Vuosaari Käärmeniementie	103943			60.22	25.17	9	Weather	2016	
Hiitola Hiitolankylä	105671			61.23	29.65		Precipitation	1942	1945
Hiitola Hännilä	105554			61.2	28.72		Precipitation	1939	1940
Hiitola Vaavoja	106164			61.18	29.77		Precipitation	1922	1924
Hiittinen	105655			59.9	22.5		Precipitation	1928	1966
Himanka	105525			64.07	23.67		Precipitation	1942	1964
Hirvensalmi Hämeenmäki	101375	2510		61.65	26.58	137	Precipitation	1967	2008
Hirvensalmi Kirkonkylä	106294			61.63	26.78		Precipitation	1939	1946
Hirvensalmi Lahnaniemi	105547			61.57	26.97		Precipitation	1935	1966
Hirvensalmi Puukonsaari	106232			61.78	26.72		Precipitation	1936	1937
Hirvensalmi Puukonsaari	101380	2515		61.8	26.85	100	Precipitation	1936	2008
Hirvensalmi Syväsmäki	105928			61.63	26.95		Precipitation	1922	1929
Hirvensalmi Vahvaselkä	101371	2506		61.6	26.58	100	Precipitation	1967	1977
Hollola Ala-Okeroinen	101181	1430	5488	60.93	25.58	88	Weather	1985	1997
Hollola Kansankatu siirrettävä	103814			60.99	25.52	20	Air quality (urban)	2015	
Hollola kirkonkylä	101160	1409		61.07	25.41	101	Precipitation	1909	2008
Hollola Korpikylä	106155			60.97	25.42		Precipitation	1942	1946
Hollola Okeroinen	105852			60.98	25.53		Precipitation	1946	1950
Hollola Sairakkala	101169	1418		61.02	25.31	145	Precipitation	1968	1972
Hollola Toivola	101178	1427		61	25.28	145	Precipitation	1972	2008
Hongonjoki Pappila	106214			62	22.25		Precipitation	1926	1934
Honkajoki Antila	101279	2110		61.92	22.23	85	Precipitation	1935	1993
Honkajoki Antila	105532			61.93	22.23		Precipitation	1935	1966
Honkajoki Honko	105639			61.97	22.28		Precipitation	1942	1966
Honkajoki Lauhala	101280	2112		62.08	22.25	108	Precipitation	1961	1978
Honkilahti Kirkonkylä	105573			60.97	22.1		Precipitation	1934	1951
Houtskari Hyppeis	100912	6		60.22	21.26	8	Precipitation	1908	2008
Huittinen Lauha	101089	1125		61.2	22.56		Precipitation	1943	1996
Huittinen Lauttakylä	101067	1103	5183	61.17	22.78	60	Weather	1894	1997
Huittinen Raskala	101097	1134		61.23	22.86	81	Precipitation	1992	2008
Huittinen Sallila	101075	1111		61.02	22.7	73	Precipitation	1961	
Humppila Huhtaa	105841			60.98	23.3		Precipitation	1942	1958
Humppila Koivisto	106345			60.92	23.38		Precipitation	1925	1932
Humppila Venäjä	106151			60.98	23.3		Precipitation	1942	1943
Hyrynsalmi Hakokylä	101818	5703		64.67	28.75		Precipitation	1967	1970
Hyrynsalmi Hannula	101825	5710		64.68	28.51		Precipitation	1946	1989
Hyrynsalmi Hoikka	101828	5713		64.72	28.63	185	Precipitation	1991	2008
Hyrynsalmi Hoikka	101819	5704		64.72	28.66	210	Precipitation	1961	1989
Hyrynsalmi Kirkonkylä	105540			64.68	28.55		Precipitation	1926	1954
Hyrynsalmi kk	101823	5708		64.7	28.6	170	Precipitation	1959	1991
Hyrynsalmi kk Jussila	101820	5705		64.67	28.5		Precipitation	1968	1978
Hyrynsalmi Kytömäki	101829	5714	2715	64.83	28.23	320	Weather	1992	2009
Hyrynsalmi Lietekylä	105691			64.68	28.22		Precipitation	1939	1942
Hyrynsalmi Luva	106333			64.58	28.83		Precipitation	1941	1943
Hyrynsalmi Moisio	105978			64.6	29.13		Precipitation	1939	1941
Hyrynsalmi Moisiovaara	101835	5804		64.6	29.13	220	Precipitation	1968	2012
Hyrynsalmi Tapanivaara	101765	4805		64.47	29.13	225	Precipitation	1934	1974
Hyvinkää	106160			60.63	24.85		Precipitation	1924	1925
Hyvinkää	104058			60.63	24.86	20	Air quality (urban)	2008	
Hyvinkää 2	104059			60.63	24.87	20	Air quality (urban)	2008	2008
Hyvinkää Hyvinkäänkylä	101130	1302	2829	60.6	24.8	86	Weather	1930	
Hyvinkää lentokenttä	101148	1320		60.65	24.85	130	Precipitation	1954	1974
Hämeenkoski Käikälä	101170	1419		61.05	25.16	120	Precipitation	1968	1999
Hämeenkoski Palomaa	101159	1408		61.06	25.24	119	Precipitation	1968	2008
Hämeenkyrö Kyröskoski	105935			61.67	23.18		Precipitation	1942	1948
Hämeenkyrö Kyröspohja	101309	2217	5673	61.63	23.17	71	Weather	1986	2000
Hämeenkyrö Laitila	105883			61.62	23.23		Precipitation	1942	1945
Hämeenkyrö Muotiala	105958			61.65	23.42		Precipitation	1935	1945
Hämeenkyrö Vesajärvi	105558			61.65	22.92		Precipitation	1942	1966
Hämeenlinna Cygnaeuksenkadun puisto	104015			61	24.44	82	Air quality (urban)	2002	2003
Hämeenlinna Kaivokatu	104022			61	24.46	85	Air quality (urban)	2003	2011
Hämeenlinna Katinen	101150	1322	2754	61	24.49	87	Weather	2001	
Hämeenlinna Kotinen	101188	1437		61.24	25.07	158	Air quality	1987	
Hämeenlinna Lammi Evo	101189	1438	2713	61.22	25.13	134	Weather	2005	
Hämeenlinna Lammi Iso-Evo	101184	1433	2783	61.18	25.04	129	Weather	1988	2009
Hämeenlinna Lammi Pappila	101154	1403	2767	61.05	25.04	125	Precipitation;Weather	1963	
Hämeenlinna Niittykatu	103109			61	24.46	85	Air quality (urban)	2011	
Hämeenlinna Pirttikoski	101143	1315		61.01	23.92	128	Precipitation	1939	
Hämeenlinna Raatihuoneenkatu	104329			60.99	24.46	82	Air quality (urban)	1997	2002
Hämeenlinna Viipurintie	104261			61	24.48	82	Air quality (urban)	1993	1996
Ii As	105837			65.32	25.43		Precipitation	1934	1949
Ii Yli-Olhava	101859	6408		65.53	25.5	40	Precipitation	1936	2008
Iisalmi Hernejärvi	105838			63.57	27.52		Precipitation	1942	1945
Iisalmi keskusta	101727	4603		63.58	27.18	101	Precipitation	1893	2008
Iisalmi Pörsämäki	105968			63.3	26.98		Precipitation	1948	1951
Iisalmi Ruotaamäki	106308			63.45	26.97		Precipitation	1942	1947
Iisalmi Sourunsalo	105709			63.52	27.13		Precipitation	1948	1966
Iisalmi Ulmala	106385			63.55	27.4		Precipitation	1937	1938
iitti kausala	101210	1520		60.89	26.35	80	Precipitation	1968	2018
Iitti Kausala	106158			60.9	26.35		Precipitation	1942	1945
Iitti Kausalan Paloasema	104100			60.89	26.36	83	Air quality (urban)	2016	
Iitti Kirkonkylä	105891			60.93	26.38		Precipitation	1944	1951
Iitti Koskenniska	101204	1514		61.08	26.18	82	Precipitation	1959	1989
Iitti Perheniemi Sääskjärvi	101200	1510		60.85	26.21	70	Precipitation	1967	1993
Ikaalinen	105673			61.78	23.52		Precipitation	1922	1929
Ikaalinen Hakumäki	101312	2220	2941	61.77	23.08	154	Radar	1994	
Ikaalinen Kauppala	105460			61.78	23.02		Precipitation	1942	1946
Ikaalinen keskusta	101297	2205		61.77	23.06	92	Precipitation	1941	1980
Ikaalinen Kurkela	101274	2105		61.7	22.78	105	Precipitation	1960	1995
Ikaalinen Vahojärvi	101298	2206		61.92	23.09	118	Precipitation	1961	2015
Ikaalinen Varpee	101276	2107		61.72	22.8	125	Precipitation	1967	1988
Ikaalinen Vehuvarpee	101277	2108		61.74	22.82	124	Precipitation	1961	
Ilmajoki Hiiripelto	101491	3106		62.83	22.65	45	Precipitation	1967	2009
Ilmajoki Peurala	101489	3104		62.72	22.6	60	Precipitation	1960	1989
Ilmajoki Seinäjoki airport	137188			62.69	22.84	86	Weather	2012	
Ilomantsi Huhus	105498			62.85	30.78		Precipitation	1942	1966
